Cód;ME;DiCo;DiCoFre;LATITUDE;LONGITUDE
HU0387;HUI75;1824;182413;40.688282;-8.177981
HU0388;HUJ05;1824;182415;40.724056;-8.10222
HU0389;HUJ24;1824;182413;40.69433;-8.196053
HU0390;HUJ33;1824;182413;40.6898;-8.149351
HU0391;HUJ41;1824;182411;40.70158;-8.103104
HU0392;HUJ57;1824;182411;40.700719;-8.104866
HU0393;HUJ82;1824;182401;40.614424;-8.197121
HU0394;HUJ92;1824;182414;40.73029;-8.094447
HU0395;HUK04;1824;182403;40.681486;-8.235385
HU0396;HUK06;1824;182413;40.686141;-8.139599
HU0397;HUK07;1824;182401;40.623624;-8.174875
HU0398;HUK14;1824;182411;40.69693;-8.085093
HU0399;HUK19;1824;182407;40.67362;-8.118202
HU0400;HUK33;1824;182415;40.716527;-8.125022
HU0401;HUK43;1824;182409;40.717235;-8.050168
HU0402;HUK47;1824;182413;40.689698;-8.149602
HU0403;HUK55;1824;182413;40.682016;-8.150184
HU0404;HUK62;1824;182403;40.695943;-8.228664
HV0001;HV01A;1816;181602;;
HV0002;HV01B;1816;181606;;
HV0003;HV01N;1816;181620;;
HV0004;HV01R;1816;181609;40.76838;-8.003605
HV0005;HV01T;1816;181621;;
HV0006;HV02A;1816;181612;40.793462;-8.049113
HV0007;HV02D;1816;181607;40.830843;-8.201365
HV0008;HV02E;1816;;;
HV0009;HV02G;1816;181622;40.89286;-8.079942
HV0010;HV03C;1816;181607;40.791686;-8.185474
HV0011;HV03D;1816;;;
HV0012;HV03H;1816;181615;40.76611;-8.120231
HV0013;HV03O;1816;181621;40.80769;-8.160801
HV0014;HV04Q;1816;181617;40.76346;-8.217202
HV0015;HV05A;1816;;;
HV0016;HV05D;1816;181607;40.828438;-8.207971
HV0017;HV05E;1816;181620;40.82689;-8.147462
HV0018;HV05J;1816;;;
HV0019;HV06X;1816;;;
HV0020;HV07C;1816;181607;40.805306;-8.187394
HV0021;HV07D;1816;181607;40.82842;-8.210401
HV0022;HV08D;1816;181607;40.837893;-8.204673
HV0023;HV08H;1816;181621;;
HV0024;HV08I;1816;181623;40.76264;-8.061636
HV0025;HV08M;1816;181615;40.74765;-8.147119
HV0026;HV08R;1816;181609;40.767514;-7.985344
HV0027;HV08T;1816;;;
HV0028;HV08Y;1816;;;
HV0029;HV09C;1816;;;
HV0030;HV09H;1816;;;
HV0031;HV09N;1816;181620;40.793229;-8.082235
HV0032;HV0AA;1816;181623;40.74731;-8.04256
HV0033;HV0AG;1816;181617;40.74972;-8.19
HV0034;HV0AH;1816;181623;40.77654;-8.048156
HV0035;HV0AS;1816;181615;40.74525;-8.120806
HV0036;HV0BA;1816;181612;40.784306;-8.046444
HV0037;HV10A;1816;181619;;
HV0038;HV10C;1816;181607;40.80649;-8.228084
HV0039;HV10I;1816;;;
HV0040;HV10K;1816;181616;40.844435;-8.012771
HV0041;HV10M;1816;;;
HV0042;HV10W;1816;181621;;
HV0043;HV11C;1816;181607;40.806952;-8.228464
HV0044;HV11E;1816;181620;40.783;-8.100997
HV0045;HV11M;1816;181621;40.744199;-8.15158
HV0046;HV12D;1816;181607;40.839797;-8.202394
HV0047;HV12G;1816;;;
HV0048;HV12P;1816;181620;40.80162;-8.083603
HV0049;HV12Q;1816;181617;40.765252;-8.218919
HV0050;HV12W;1816;181621;40.769266;-8.170344
HV0051;HV13R;1816;181617;40.77058;-8.216409
HV0052;HV14C;1816;181607;40.80705;-8.225261
HV0053;HV14D;1816;181607;40.83908;-8.20323
HV0054;HV14G;1816;181622;40.878095;-8.07906
HV0055;HV14S;1816;181612;;
HV0056;HV14T;1816;;;
HV0057;HV15C;1816;181607;40.806866;-8.225191
HV0058;HV15H;1816;181621;40.788031;-8.174038
HV0059;HV15O;1816;181621;40.772944;-8.132101
HV0060;HV15W;1816;181617;40.782344;-8.213345
HV0061;HV15Y;1816;181621;40.784605;-8.131133
HV0062;HV16A;1816;181619;40.786865;-8.020726
HV0063;HV16C;1816;;;
HV0064;HV16H;1816;181621;40.786207;-8.173468
HV0065;HV16J;1816;181609;40.764253;-8.02455
HV0066;HV17C;1816;;;
HV0067;HV18D;1816;181607;40.827752;-8.185756
HV0068;HV18L;1816;181621;40.75229;-8.153077
HV0069;HV18N;1816;181620;40.79195;-8.098812
HV0070;HV18U;1816;181615;40.74476;-8.119517
HV0071;HV19D;1816;181607;40.826349;-8.185511
HV0072;HV19G;1816;181622;40.869789;-8.097851
HV0073;HV1AE;1816;181621;40.776111;-8.136667
HV0074;HV1AP;1816;181617;40.75753;-8.193854
HV0075;HV1AR;1816;181615;40.74569;-8.117278
HV0076;HV20B;1816;181620;40.854551;-8.180129
HV0077;HV20D;1816;181607;40.827671;-8.186665
HV0078;HV20G;1816;181622;40.88649;-8.099891
HV0079;HV20L;1816;181621;40.76985;-8.149972
HV0080;HV20N;1816;181620;40.79723;-8.09899
HV0081;HV21H;1816;181621;40.785071;-8.170652
HV0082;HV21O;1816;181621;40.770255;-8.136773
HV0083;HV21Q;1816;181617;40.76419;-8.222969
HV0084;HV22A;1816;181619;40.78493;-8.021965
HV0085;HV22D;1816;181607;40.825616;-8.185367
HV0086;HV22G;1816;181622;40.88664;-8.099745
HV0087;HV23B;1816;181606;;
HV0088;HV23C;1816;181607;40.821024;-8.213919
HV0089;HV23M;1816;181615;;
HV0090;HV23N;1816;181615;40.761736;-8.110925
HV0091;HV24B;1816;;;
HV0092;HV24F;1816;181616;40.868062;-8.056853
HV0093;HV24G;1816;181622;40.885336;-8.100108
HV0094;HV24P;1816;181620;40.850551;-8.164081
HV0095;HV25B;1816;;;
HV0096;HV25C;1816;181607;40.821078;-8.213693
HV0097;HV25E;1816;;;
HV0098;HV25G;1816;181622;40.869927;-8.095375
HV0099;HV27L;1816;181623;40.754342;-8.078712
HV0100;HV27P;1816;181622;40.885317;-8.098895
HV0101;HV27S;1816;181607;40.808467;-8.183476
HV0102;HV28B;1816;181606;;
HV0103;HV28C;1816;181607;40.820242;-8.214492
HV0104;HV28D;1816;181607;40.82514;-8.185813
HV0105;HV28L;1816;181623;40.75304;-8.074914
HV0106;HV28O;1816;181621;40.778889;-8.143
HV0107;HV28T;1816;181615;;
HV0108;HV28Y;1816;181616;40.83306;-8.046111
HV0109;HV29D;1816;181607;40.826716;-8.185356
HV0110;HV29E;1816;;;
HV0111;HV29H;1816;181621;40.77114;-8.158192
HV0112;HV29R;1816;181608;40.791668;-7.933786
HV0113;HV2AA;1816;181621;40.782058;-8.132216
HV0114;HV2AC;1816;181616;40.822501;-8.046702
HV0115;HV2AE;1816;181608;40.79222;-7.935
HV0116;HV2AF;1816;181620;40.789444;-8.115556
HV0117;HV2AH;1816;181607;40.82292;-8.212833
HV0118;HV2AM;1816;181623;40.762658;-8.09077
HV0119;HV2AV;1816;181609;40.765083;-7.981722
HV0120;HV30A;1816;181619;40.78139;-8.028822
HV0121;HV30B;1816;181606;40.836044;-7.99083
HV0122;HV30N;1816;181620;40.7928;-8.097551
HV0123;HV30P;1816;181622;40.88745;-8.111775
HV0124;HV31C;1816;181607;40.820879;-8.211359
HV0125;HV31D;1816;181607;40.826921;-8.186937
HV0126;HV31F;1816;181616;40.84913;-8.035085
HV0127;HV31H;1816;181621;40.77613;-8.165628
HV0128;HV31X;1816;181607;40.83856;-8.20375
HV0129;HV31Y;1816;181621;40.779039;-8.159451
HV0130;HV32E;1816;;;
HV0131;HV32G;1816;;;
HV0132;HV32Q;1816;181617;40.77249;-8.234532
HV0133;HV33D;1816;;;
HV0134;HV33E;1816;181607;40.846964;-8.231406
HV0135;HV33G;1816;181602;40.76554;-8.103975
